genome	test_name	ref_filename	assembly_filename	ref_length	assembly_length	overall_errors	overall_identity	overall_qscore	substitutions	insertions	deletions	repeat_errors	repeat_identity	repeat_qscore	non_repeat_errors	non_repeat_identity	non_repeat_qscore	repeat_percentage	repeat_error_balance	homopolymer_errors	non_homopolymer_errors	lowest_100_bp_identity	lowest_1000_bp_identity	prodigal_count	total_prodigal_length	mean_prodigal_length	total_mapq	total_alignment_score	ale_score	ale_place_avg	ale_insert_avg	ale_kmer_avg	ale_depth_score_avg
NC_002967.9	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_002967.9.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_002967.9/nextpolish-short__polypolish-short__hypo-short.fasta.gz	2843201	2843194	7	99.999753799%	56.09	0	0	7	7	99.994685132%	42.75	0	100.000000000%	inf	4.63%	1.00000	0	7	93%	99.3%	2578	870021	337.479	112487342	279245796	-2620516.208985	-2.028201	-0.282715	-0.245939	0.094563
NC_002947.4	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_002947.4.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_002947.4/nextpolish-short__polypolish-short__hypo-short.fasta.gz	6181873	6181873	2	99.999967647%	64.90	0	1	1	2	99.999204635%	50.99	0	100.000000000%	inf	4.07%	1.00000	2	0	99%	99.9%	5587	1827826	327.157	242978503	607150116	-5126377.418901	-2.022961	-0.281568	-0.149676	0.088601
NC_003030.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_003030.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_003030.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	3940880	3940868	16	99.999593999%	53.91	4	0	12	16	99.987913582%	39.18	0	100.000000000%	inf	3.36%	1.00000	7	9	95%	99.5%	3718	1136196	305.593	155348214	387060319	-3754612.035386	-2.021635	-0.281791	-0.259346	0.074433
NC_003098.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_003098.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_003098.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	2038615	2038615	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	7.34%		0	0	100%	100.0%	1992	582907	292.624	80238498	200215458	-1641974.581755	-2.040209	-0.283904	-0.119190	0.088481
NC_003047.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_003047.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_003047.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	3654135	3654135	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	3.77%		0	0	100%	100.0%	3391	1052147	310.276	143694647	358889394	-3194898.873561	-2.027230	-0.282748	-0.193684	0.089352
NC_003143.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_003143.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_003143.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	4653728	4653679	75	99.998388392%	47.93	8	9	58	75	99.978631626%	36.70	0	100.000000000%	inf	7.54%	1.00000	55	20	93%	99.3%	4114	1299010	315.754	179314788	457075405	-3825175.015302	-2.022516	-0.281444	-0.049201	-0.004760
NC_003210.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_003210.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_003210.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	2944528	2944528	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	1.86%		0	0	100%	100.0%	2875	876610	304.908	116484102	289202318	-2504075.369710	-2.025017	-0.282746	-0.171555	0.090389
NC_003197.2	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_003197.2.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_003197.2/nextpolish-short__polypolish-short__hypo-short.fasta.gz	4857450	4857446	4	99.999917652%	60.84	0	0	4	4	99.997592015%	46.18	0	100.000000000%	inf	3.42%	1.00000	4	0	98%	99.8%	4513	1415556	313.662	191541069	477084607	-3661577.603015	-2.016243	-0.281798	-0.077231	0.089449
NC_003454.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_003454.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_003454.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	2174500	2174495	6	99.999724074%	55.59	1	0	5	6	99.994709834%	42.77	0	100.000000000%	inf	5.22%	1.00000	5	1	98%	99.8%	2022	658780	325.806	84592807	213571857	-2242408.065741	-2.030084	-0.284246	-0.329818	0.070027
NC_003450.3	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_003450.3.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_003450.3/nextpolish-short__polypolish-short__hypo-short.fasta.gz	3309401	3309402	1	99.999969783%	65.20	0	1	0	1	99.999160912%	50.76	0	100.000000000%	inf	3.60%	1.00000	1	0	99%	99.9%	3068	963729	314.123	130170334	325037963	-2420424.134191	-2.024159	-0.282880	-0.048668	0.086320
NC_004113.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_004113.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_004113.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	2593857	2593853	4	99.999845789%	58.12	0	0	4	4	99.997515605%	46.05	0	100.000000000%	inf	6.21%	1.00000	4	0	99%	99.9%	2521	777754	308.510	101237539	254748979	-1984362.395724	-2.041641	-0.283407	-0.067477	0.077466
NC_004116.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_004116.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_004116.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	2160267	2160262	5	99.999768547%	56.36	0	0	5	5	99.994639622%	42.71	0	100.000000000%	inf	4.32%	1.00000	3	2	99%	99.8%	2107	632268	300.080	83853004	212172256	-1880050.232345	-2.037250	-0.283509	-0.170518	0.073813
NC_003902.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_003902.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_003902.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	5076188	5076186	8	99.999842402%	58.02	0	3	5	8	99.996344461%	44.37	0	100.000000000%	inf	4.31%	1.00000	2	6	95%	99.5%	4293	1445081	336.613	199881021	498567488	-4617984.011289	-2.016358	-0.281670	-0.234937	0.091210
NC_004307.2	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_004307.2.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_004307.2/nextpolish-short__polypolish-short__hypo-short.fasta.gz	2256640	2256640	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	3.36%		0	0	100%	100.0%	1830	654177	357.474	88349846	221632315	-1825681.160768	-2.045158	-0.283666	-0.119895	0.087140
NC_003997.3	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_003997.3.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_003997.3/nextpolish-short__polypolish-short__hypo-short.fasta.gz	5227293	5227286	9	99.999827827%	57.64	0	1	8	9	99.993010252%	41.56	0	100.000000000%	inf	2.46%	1.00000	2	7	95%	99.5%	5473	1467742	268.179	207042820	513404587	-4539840.459570	-2.018134	-0.281637	-0.186052	0.084154
NC_003888.3	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_003888.3.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_003888.3/nextpolish-short__polypolish-short__hypo-short.fasta.gz	8667507	8667506	1	99.999988463%	69.38	0	0	1	1	99.999662826%	54.72	0	100.000000000%	inf	3.42%	1.00000	1	0	99%	99.9%	7738	2557844	330.556	342077360	851285574	-8206842.841821	-2.013369	-0.281424	-0.271472	0.089567
NC_004350.2	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_004350.2.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_004350.2/nextpolish-short__polypolish-short__hypo-short.fasta.gz	2032925	2032925	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	3.67%		0	0	100%	100.0%	1897	580688	306.109	79635611	199666411	-1756773.461752	-2.037105	-0.283761	-0.178413	0.087872
NC_004337.2	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_004337.2.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_004337.2/nextpolish-short__polypolish-short__hypo-short.fasta.gz	4607202	4607192	32	99.999305437%	51.58	2	10	20	32	99.994009431%	42.23	0	100.000000000%	inf	11.59%	1.00000	19	13	95%	99.5%	4742	1331245	280.735	171647152	452495107	-3574537.660338	-2.023739	-0.282122	-0.057506	0.050280
NC_004461.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_004461.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_004461.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	2499279	2499279	1	99.999959988%	63.98	1	0	0	1	99.999117660%	50.54	0	100.000000000%	inf	4.53%	1.00000	0	1	99%	99.9%	2283	692053	303.133	98199339	245474095	-2286606.760668	-2.029442	-0.283586	-0.228600	0.084700
NC_004347.2	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_004347.2.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_004347.2/nextpolish-short__polypolish-short__hypo-short.fasta.gz	4969811	4969784	36	99.999275627%	51.40	5	2	29	36	99.990499966%	40.22	0	100.000000000%	inf	7.62%	1.00000	28	8	98%	99.7%	4437	1412437	318.332	191262053	488115339	-3859674.189909	-2.019370	-0.281526	-0.056330	0.046669
NC_004567.2	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_004567.2.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_004567.2/nextpolish-short__polypolish-short__hypo-short.fasta.gz	3308273	3308272	1	99.999969773%	65.20	0	0	1	1	99.999154856%	50.73	0	100.000000000%	inf	3.58%	1.00000	0	1	99%	99.9%	3089	930179	301.126	130699100	324926070	-2457984.416829	-2.025405	-0.282612	-0.066645	0.093000
NC_004668.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_004668.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_004668.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	3218031	3218031	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	4.08%		0	0	100%	100.0%	3121	942535	301.998	127058274	316064911	-2809297.643824	-2.030807	-0.282751	-0.187384	0.085582
NC_004578.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_004578.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_004578.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	6397126	6397118	37	99.999421616%	52.38	7	11	19	37	99.991202332%	40.56	0	100.000000000%	inf	6.57%	1.00000	23	14	97%	99.6%	5731	1873237	326.860	247055265	628301375	-5240553.083164	-2.017189	-0.281483	-0.108181	0.055220
NC_004463.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_004463.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_004463.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	9105828	9105825	4	99.999956072%	63.57	1	0	3	4	99.998871144%	49.47	0	100.000000000%	inf	3.89%	1.00000	3	1	99%	99.9%	8500	2586574	304.303	359832019	894324842	-8188587.123494	-2.013093	-0.281620	-0.219743	0.085387
NC_004663.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_004663.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_004663.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	6260361	6260360	1	99.999984026%	67.97	0	0	1	1	99.999531776%	53.30	0	100.000000000%	inf	3.41%	1.00000	1	0	99%	99.9%	4902	1875893	382.679	247245770	614863364	-4700244.554795	-2.015508	-0.281704	-0.075314	0.090264
NC_005042.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_005042.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_005042.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	1751080	1751079	1	99.999942892%	62.43	0	0	1	0	100.000000000%	inf	1	99.999942640%	62.41	0.44%	0.00000	1	0	99%	99.9%	1908	520189	272.636	70025918	171981780	-1484183.700532	-2.040131	-0.284193	-0.159390	0.086578
NC_004722.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_004722.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_004722.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	5411809	5411795	14	99.999741306%	55.87	0	0	14	13	99.993488540%	41.86	1	99.999980814%	67.17	3.69%	0.99706	14	0	99%	99.8%	5516	1513734	274.426	213532581	531522926	-4783014.817051	-2.023343	-0.281599	-0.187803	0.072305
NC_006055.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_006055.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_006055.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	793224	793224	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	2.48%		0	0	100%	100.0%	1475	181021	122.726	31295163	77907123	-825324.111296	-2.111184	-0.289220	-0.333709	0.093365
NC_005125.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_005125.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_005125.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	4659019	4659019	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	3.25%		0	0	100%	100.0%	4517	1384352	306.476	185109921	457578637	-3848915.446538	-2.021870	-0.281317	-0.148426	0.090033
NC_005027.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_005027.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_005027.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	7145576	7145560	16	99.999776085%	56.50	0	0	16	16	99.993204704%	41.68	0	100.000000000%	inf	3.30%	1.00000	3	13	93%	99.3%	5471	2115913	386.751	282937448	701813723	-5502771.545201	-2.015656	-0.281422	-0.092567	0.088173
NC_005945.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_005945.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_005945.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	5228663	5228657	6	99.999885248%	59.40	0	0	6	6	99.995388269%	43.36	0	100.000000000%	inf	2.49%	1.00000	6	0	99%	99.9%	5472	1468458	268.359	207095998	513527085	-4548839.928935	-2.020087	-0.281590	-0.186032	0.083287
NC_006461.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_006461.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_006461.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	1849742	1849742	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	1.82%		0	0	100%	100.0%	1943	585482	301.329	73273903	181675221	-1804734.831677	-2.040946	-0.284123	-0.299117	0.098470
NC_006570.2	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_006570.2.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_006570.2/nextpolish-short__polypolish-short__hypo-short.fasta.gz	1892775	1892762	15	99.999207513%	51.01	2	0	13	15	99.990077002%	40.03	0	100.000000000%	inf	7.99%	1.00000	3	12	91%	99.1%	2032	562790	276.964	71014314	185904190	-1749150.917334	-2.037915	-0.284330	-0.221378	0.071339
NC_006814.3	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_006814.3.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_006814.3/nextpolish-short__polypolish-short__hypo-short.fasta.gz	1993560	1993560	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	2.96%		0	0	100%	100.0%	1880	588757	313.169	78699657	195798708	-1758680.513823	-2.045510	-0.284060	-0.193506	0.087848
NC_006347.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_006347.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_006347.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	5277274	5277273	1	99.999981051%	67.22	0	0	1	1	99.999324365%	51.70	0	100.000000000%	inf	2.80%	1.00000	1	0	99%	99.9%	4373	1565322	357.952	209029416	518311332	-3961441.578603	-2.014233	-0.281528	-0.071547	0.086139
NC_007005.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_007005.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_007005.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	6093698	6093698	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	4.26%		0	0	100%	100.0%	5207	1787909	343.366	242033538	598502425	-4815608.157657	-2.015915	-0.281515	-0.116241	0.091811
NC_007644.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_007644.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_007644.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	2628784	2628783	1	99.999961960%	64.20	0	0	1	1	99.998403296%	47.97	0	100.000000000%	inf	2.38%	1.00000	0	1	99%	99.9%	2643	773632	292.710	104293147	258185468	-2118168.524300	-2.025827	-0.282808	-0.127442	0.091226
NC_007643.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_007643.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_007643.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	4352825	4352825	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	2.22%		0	0	100%	100.0%	3843	1284428	334.225	173148992	427512685	-4036633.335595	-2.022807	-0.281817	-0.249435	0.090282
NC_007606.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_007606.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_007606.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	4369232	4369227	25	99.999427818%	52.42	2	9	14	25	99.996487624%	44.54	0	100.000000000%	inf	16.29%	1.00000	9	16	95%	99.5%	4985	1242740	249.296	159997751	429133490	-3376656.711667	-2.024028	-0.281960	-0.058954	0.054803
NC_007677.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_007677.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_007677.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	3551823	3551823	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	1.81%		0	0	100%	100.0%	3007	1011012	336.219	141651486	348848408	-3090513.075415	-2.028945	-0.282644	-0.187201	0.087610
NC_007929.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_007929.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_007929.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	1827111	1827108	5	99.999726344%	55.63	0	1	4	5	99.995559779%	43.53	0	100.000000000%	inf	6.16%	1.00000	4	1	99%	99.9%	1781	532946	299.240	70762291	179452860	-1652702.476581	-2.042620	-0.283602	-0.201587	0.072447
NC_007795.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_007795.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_007795.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	2821361	2821361	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	4.49%		0	0	100%	100.0%	2631	788381	299.651	111723954	277096600	-2543796.760844	-2.028157	-0.282646	-0.217029	0.085673
NC_008526.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_008526.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_008526.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	2895264	2895262	2	99.999930922%	61.61	0	0	2	2	99.999029894%	50.13	0	100.000000000%	inf	7.12%	1.00000	2	0	99%	99.9%	2810	820212	291.890	111178797	284361472	-2184856.266641	-2.021865	-0.282834	-0.071664	0.085263
NC_008570.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_008570.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_008570.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	4744448	4744429	21	99.999557377%	53.54	0	1	20	21	99.982670122%	37.61	0	100.000000000%	inf	2.55%	1.00000	13	8	92%	99.2%	4188	1380514	329.636	187374188	465978347	-4044304.766468	-2.020361	-0.281650	-0.153243	0.068150
NC_009009.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_009009.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_009009.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	2388435	2388435	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	3.23%		0	0	100%	100.0%	2274	708264	311.462	94716162	234580191	-1834759.826471	-2.021638	-0.282951	-0.092160	0.092172
NC_008596.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_008596.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_008596.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	6988209	6988210	75	99.998926768%	49.69	18	29	28	75	99.976171943%	36.23	0	100.000000000%	inf	4.50%	1.00000	18	57	90%	97.1%	6694	2153161	321.655	270679243	686355456	-6527490.553040	-2.012340	-0.281819	-0.223022	0.053677
NC_008800.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_008800.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_008800.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	4615899	4615892	7	99.999848350%	58.19	0	0	7	7	99.996636620%	44.73	0	100.000000000%	inf	4.51%	1.00000	1	6	94%	99.4%	4168	1310565	314.435	181299726	453353677	-3386678.866097	-2.016616	-0.281552	-0.056203	0.088559
NC_009089.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_009089.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_009089.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	4290252	4290237	18	99.999580444%	53.77	1	1	16	18	99.993643439%	41.97	0	100.000000000%	inf	6.60%	1.00000	14	4	98%	99.7%	3819	1185429	310.403	166742664	421358393	-4253886.346898	-2.021017	-0.281960	-0.278519	0.054651
NC_009613.3	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_009613.3.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_009613.3/nextpolish-short__polypolish-short__hypo-short.fasta.gz	2860382	2860376	7	99.999755277%	56.11	1	0	6	6	99.996850344%	45.02	1	99.999962545%	64.26	6.66%	0.98825	6	1	99%	99.9%	2514	829916	330.118	110913653	280931716	-2869649.535258	-2.031186	-0.282499	-0.307509	0.075495
NC_009495.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_009495.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_009495.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	3886916	3886909	7	99.999819909%	57.45	0	0	7	7	99.995655439%	43.62	0	100.000000000%	inf	4.15%	1.00000	7	0	99%	99.9%	3548	1056128	297.669	153585289	381762571	-3940084.568315	-2.018049	-0.282013	-0.327818	0.080824
NC_009636.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_009636.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_009636.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	3781904	3781899	5	99.999867791%	58.79	0	0	5	5	99.992392660%	41.19	0	100.000000000%	inf	1.74%	1.00000	0	5	95%	99.5%	3606	1105291	306.514	150067745	371444163	-3216226.145532	-2.030072	-0.282251	-0.168547	0.088893
NC_011661.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_011661.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_011661.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	1855560	1855560	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	2.15%		0	0	100%	100.0%	1818	582765	320.553	73577553	182243556	-1681465.533595	-2.040628	-0.284126	-0.223821	0.092561
NC_010397.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_010397.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_010397.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	5067172	5067172	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	0.99%		0	0	100%	100.0%	4963	1570718	316.486	202595424	497675438	-4293162.431064	-2.024191	-0.281612	-0.167110	0.088460
NC_010175.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_010175.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_010175.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	5258541	5258541	1	99.999980983%	67.21	1	0	0	1	99.999710177%	55.38	0	100.000000000%	inf	6.56%	1.00000	0	1	99%	99.9%	4336	1471072	339.269	209077976	516467525	-3976755.625986	-2.021472	-0.281624	-0.079848	0.091298
NC_011750.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_011750.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_011750.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	5132068	5132003	75	99.998538602%	48.35	0	5	70	75	99.979774172%	36.94	0	100.000000000%	inf	7.23%	1.00000	59	16	96%	99.3%	4885	1508765	308.857	197466737	504040567	-4331216.390723	-2.024715	-0.281612	-0.058330	-0.016848
NC_012926.1	NextPolish-short+Polypolish-short+HyPo-short	reference_genomes/NC_012926.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_012926.1/nextpolish-short__polypolish-short__hypo-short.fasta.gz	2146229	2146227	2	99.999906813%	60.31	0	0	2	2	99.998918866%	49.66	0	100.000000000%	inf	8.62%	1.00000	2	0	99%	99.9%	2037	627058	307.834	83295054	210781099	-1714602.446413	-2.053457	-0.283780	-0.101459	0.081642
